thrpt,latency,ber_qpsk,loss_pct
78,4,0.2431963440615354,24
15,4,0.3841450141627977,38
7,5,0.4227000724941471,42
9,5,0.4091257100454009,41
347,4,0.0359621637300874,4
89,4,0.2278939849369587,23
43,4,0.3072397343499096,31
12,5,0.3977126697780402,40
203,4,0.1097502799220098,11
14,4,0.3881026595034885,39
603,5,0.0016450786045178,0
17,5,0.376948128793136,38
13,5,0.3921876670438865,39
79,4,0.242339561208106,24
52,4,0.289157549330634,29
11,4,0.4023905898957726,40
8,4,0.4157318921272709,42
111,4,0.1976589081034312,20
11,5,0.403347717552772,40
601,5,0.0016818789353796,0
40,5,0.3141720906550729,31
9,5,0.409495240938689,41
277,4,0.0640092928064888,6
50,4,0.2918824519548661,29
324,5,0.043824322907153,4
31,4,0.3359752037473811,34
192,4,0.1177926237436493,12
20,5,0.3685356006059066,37
431,5,0.01594626780467,2
16,5,0.3821648591138574,38
9,5,0.4102001872662077,41
154,4,0.1514033039519217,15
897,4,1.328294185635776e-06,0
16,5,0.3809351682801077,38
58,4,0.2766826546868505,28
198,4,0.1129879989992315,11
351,5,0.0346954806593745,3
264,5,0.0706466406179259,7
513,5,0.0060692278768045,1
29,4,0.3402597990449734,34
105,4,0.2061374113386441,21
12,4,0.3971605488860018,40
53,5,0.2862764086141156,29
109,4,0.2007202491872197,20
802,4,2.483794306196224e-05,0
602,5,0.0016554424932562,0
246,5,0.080826031854706,8
358,5,0.0326647428067737,3
74,4,0.2502998898730697,25
77,4,0.2451713618009882,25
7,5,0.4214519207772466,42
77,4,0.2443550661096361,24
71,4,0.2551457591476747,26
362,5,0.0314675327380291,3
387,5,0.0248939734998781,2
599,5,0.0017469638070492,0
808,4,2.093017493384584e-05,0
202,4,0.1100938672948717,11
295,4,0.0557992956460641,6
9,5,0.4119212764517522,41
94,4,0.2202040245708987,22
